var,label,desc,unit,min,max
MC2_CrefMeth3,,Initial C-ref value in soil organic matter pool using Type 2.,gr cm-2,,
MC2_CrefOffset,,Constant for C reference tabulated for soil organic matter type 2.,,,
MC2_KAct,,Decay rate for decomposition of active pool of soil organic matter,,,
MC2_KMetab,,Decay rate for decomposition of active pool of soil organic matter,,,
MC2_KPass,,Decay rate for decomposition of active pool of soil organic matter,,,
MC2_kRelLayer,,"Factor determined decay rate for decomposition of active, passive and slow pool for each soil layer (relative to decay rate for decomposition for each pool).",fraction,,
MC2_KSlw,,Decay rate for decomposition of active pool of soil organic matter,,,
MC2_KStruc,,Decay rate for decomposition of active pool of soil organic matter,,,
MC2_pH,Soil Properties,Soil pH (only for soil organic matter type 2),,,
MC2_pHCoeffCref,,Coefficient of pH based on tabulated of Cref for soil organic matter type 2,,,
MC2_RainTransfer,,Rain factor which control transferring process of litter to SOM pool, ,,
MC2_Silt,,Proportion of silt in soil (only for soil organic matter type 2),,0,1
MC2_SiltClayCoeffCref,,Coefficient of clay and silt based on tabulated Cref for soil organic matter type 2,,,
MC2_SoilTillTransfer,,Soil tillage factor which control transferring process of litter to SOM pool, ,,
MC2_SOMDistribution,,Relative distribution of carbon between different soil layers,fraction,0,1
MC2_SOMInitType,,"Parameter defining methods to initialize soil organic matter pool. Three methods are provided for initializing the soil organic matter pools:<br/>Type = 1 the user can specify all pool sizes for all zones,<br/>Type = 2 the user can specify the size of all pools relative to those for a forest soil (Cref) that is calculated from soil texture data,<br/>Type = 3 the user specifies the Corg and Cref directly, but otherwise follows the procedure of Type 2",,,
MC2_WormTransfer,,Worm factor which control transferring process of litter to SOM pool, ,0.003,0.1
MN_CNAct,,C:N ratio of active pools,,5,10
MN_CNPass,,C:N ratio of passive pools,,8,15
MN_CNSlw,,C:N ratio of slow pools,,8,15
MN_CNStruc,,C:N ratio of structural pools,,100,200
MN_ExtOrgN,,N or P concentration of external input,,0,0.1
MN_FertDissFrac,Fraction of Fertilizer Dissolved,Daily fraction of fertilizer dissolved,,,
MN_InitAct,,Initial amount of N in active Litter pool of each zone,mg cm-3,0,1
MN_InitMetab,,Initial amount of N in metabolic Litter pool of each zone,mg cm-3,0,1
MN_InitPass,,Initial amount of N in passive Litter pool of each zone,mg cm-3,0,1
MN_InitSlw,,Initial amount of N in slow Litter pool of each zone,mg cm-3,0,1
MN_InitStruc,,Initial amount of N in structural Litter pool of each zone,mg cm-3,0,1
MN_LatFlowFertKm,Runoff causes half of undissolved fertilizer moved,Runoff flow that causes half of the (undissolved) surface fertilizer to move to the next zone,mm,,
MN_NutRatAct,,Ratio of N to P (N:P) in active organic matter pools,,1,10
MN_NutRatMetab,,Ratio of N to P (N:P) in metabolic organic matter pools,,1,10
MN_NutRatPass,,Ratio of N to P (N:P) in passive organic matter pools,,1,10
MN_NutRatSlw,,Ratio of N to P (N:P) in slow organic matter pools,,1,10
MN_NutRatStruc,,Ratio of N to P (N:P) in structural organic matter pools,,1,10
MN2_InitAct,,Initial amount of N in active SOM pool of each zone,mg cm-3,0,1
MN2_InitMetab,,Initial amount of N in metabolic SOM pool of each zone,mg cm-3,0,1
MN2_InitPass,,Initial amount of N in passive SOM pool of each zone,mg cm-3,0,1
MN2_InitSlw,,Initial amount of N in slow SOM pool of each zone,mg cm-3,0,1
MN2_InitStruc,,Initial amount of N in structural SOM pool of each zone,mg cm-3,0,1
MN2_PassRelLayer,,Proportional distribution of passive pool,fraction,,
N_BypassMacroi,,Prefential flows of nutrients in the leachate relative to average concentration * water flow; values < 1 indicates retardation of nutrients due to bypass flow of water in macropores at soil layer i,,0,2
N_CNutMob,Relative transfer rate for nutrient pool,,cm2/day,,
N_CRhizKaPMod,Reduction of constant P by root activity,,mg /cm,,
N_DiffCoef,,Nitrogen diffusion coefficient,cm2 day-1,0,1
N_FracNO3i,,Fraction of NO3 of total N in i-th soil layer,,0,1
N_ImInit,Initial immobile N nad P [mg.cm-3],Initial amount of nutrient in immobile pool of each zone,mg cm?3,0,0.1
N_KaNH4i,,Apparent (instantaneous) adsorption constant or ratio of amount NH4 adsorbed and amount in solution for i-th layer,mg cm-3 ,0,1
N_KaNO3i,,Apparent (instantaneous) adsorption constant or ratio of amount NO3 adsorbed and amount in solution for i-th layer,mg cm-3,0,1
N_KaPDefi,,"Apparent (instantaneous) adsorption constant for inorganic P, or ratio of amount of inorganic P adsorbed ant the amount in soil solution; the adsorption constant depends on the P concentration on soil solution and is read in a tabular form (as graphical input parameter).",mg cm-3,,
N_Lat4InflowRelConc,,"Nutrient concentrations in the incoming sub-surface flows into zone 4, relative to the current average nutrient concentration in that layer across all zones in the simulated area",,0,10
N_NIniti,,Initial amount of nutrient in soil layer i of each zone,mg cm?3,0,0.5
N_NutMobi,,"Relative rate of transfer from the 'immobile' pool of nutrients to the 'mobile' or sorbed pool, due to processes other than root activity in soil layer i",day-1,0,0.02
N_RtSynloci,,"Root synlocation, or degree to which roots of the crop and tree are co-occurring within the various soil layers, affecting the way in which benefits of rhizosphere modification are shared; 1 = sharing of rhizosphere modifications by all roots present, based on their share in total root length, 0 = complete monopoly by roots modifying the rhizosphere",,0,1
N_TRhizKaPMod,Reduction of constant P by root activity,,mg /cm,,
N_UseNGassLossEst_is,,"A switch determining simulate system with gaseous N losses. 0 = no gaseous N losses, 1 = with gaseous N losses",,,
N15_Addi,,Initial amount of N15 in soil layer i of each zone,mg cm-3,,
P_BurnLab,,Amount of labour involved in burning the field per unit simulated filed,person days ha-1,,
P_CFertLab,Labour for fertilizer application per application,,person day ha-1,,
P_CfertPrice,,"Cost of fertilizer at social and private prices, respectively.",currency unit kg-1,,
P_CHarvLab,Labour for harvesting per cropping season,Amount of labour involved in harvesting crop products per unit dry weight,person days Mg-1 per cropping season,,
P_CNuFerAppperCropSeason,,Number of fertilizer application per cropping season,,,
P_CPestConLab,Labour for pest control per cropping season,,person days ha-1,,
P_CPestContLab,,Amount of labour involved in pest control per cropping season,person days ha-1 per cropping season,,
P_CPestContPrice,,Amount of direct costs (outside labour) involved in pest control per cropping season,currency unit per ha-1 per cropping season,,
P_CPlantLab,Labour for planting per cropping season,Amount of labour involved in planting per cropping season,person days ha-1 per cropping season,,
P_CropProfThreshold,,Threshold value for crop profitability. Relevan to parameter P_UseCropStopRule? = 1,Currency unit,,
P_CSeedPrice,,"Cost of crop seed per kg at social and private prices, respectively.",currency unit kg-1,,
P_CWeedLab,Labour for weeding per cropping season,Amount of labour involved in weeding per cropping season,person days ha-1 per cropping season,,
P_CyieldPrice,Yield Price per kg,"Price of crop yield per unit dry weight at social and private prices, respectively.",currency unit kg-1,,
P_DiscountRate,,Discount rate (% per year) that applies to both social and private prices,% year-1,,
P_ExtOrgPrice,,Price of external organic input,currency unit kg-1,,
P_FenceMatCost,,Price of off-farm material used for building or maintaining a fence around the field,currency unit ha-1,,
P_LabourforPestContrl_is,,"A switch 0 0r 1 for pesticide application related to the use of labour (1 = pesticide application, 0 = no pesticide application)",,,
P_LabourforWeed_is,,"A switch 0 0r 1 for weeding application related to the use of labour (1 = weeding application, 0 = no weeding application)",,,
P_PriceCSeed,Seed Price per kg,,Rp,,
P_TFertLab,Labour for fertilizer application,,person days ha-1,,
P_TFruitHarvLab,Labour for fruit harvesting per unit dry weight,Amount of labour involved in harvesting fruits per unit dry weight,person days kg-1,,
P_TFruitPrice,Fruit price per kg,"Price of tree fruit yield per unit dry weight at social and private prices, respectively.",currency unit kg-1,,
P_TLatexHarvLab,Labour for latex harvesting per unit dry weight,Amount of labour involved in harvesting latex per unit dry,person days kg-1,,
