var,sub_var,order,Cacao Sulawesi,Cacao-Di,Cacao-M,Cacao-N,Cacao-V,Cacao-Da,Nephelium sp,Artocarpus integer,Psidium guajava L.,Eugenia aquea,Phitecellobium jaringa,Paraserianthes falcataria,Anacardium occidentale,Leucaena leucocephala,Artocarpus heterophyllus,Parkia sp.,Hevea brasilinsis,Annona muricata L.,Gnetum gnemon,Theobroma cacao,Durio zibenthinus Murr.,Mangifera indica,Ceiba pentandra,Achras zapota,Acasia mangium,Tectona grandis,Elais guneensis,Swietenia mahogany,Swietenia macrophilla,Alstonia sp,Peronema canescens,Coffee sp,Bamboo,Gmelina arborea,Lansium domesticum
T_TranspRatio,,11,650,300,650,300,300,300,300,,,,300,300,300,,300,300,300,,,,,367.42,,,300,300,300,300,300,212.1320344,367.4234614,300,328.63,367.42,367.42
T_Rubber_is,,12,0,0,0,0,0,0,,,,,,,,,,,1,,,,,,,,0,0,0,,,,,,,,
T_ApplyPalm_is,,13,0,0,0,0,0,0,,,,,,,,,,,0,,,,,0,,,0,0,1,,0,,,0,0,0,0
T_RelFruitAllocMax,,14,0.35,0.4,0.4,0.4,0.5,0.4,,,,,,,,,,,0,,,,,,,,0,0,0,,,,,,0,,
T_CanHMax,,15,3.5,3.5,3.5,3.5,3.5,3.5,5.95,,,,8.2,9.71,6.69,,6.5,4.45,15,,,,,7.21,,,13,8,5,7,8.69,3.7,6.7,2.5,14,7.73,5.11
T_CanShape,,16,1,1,1,1,1,1,0.545,,,,0.66,0.5,0.385,,0.675,0.7,0.8,,,,,1.15,,,0.769230769,0.625,1,0.668571429,0.54,0.878378378,0.694029851,1,0.38,0.79,1.76
T_CanWidthMax,,17,3.5,3.5,3.5,3.5,3.5,3.5,3.24275,,,,5.412,4.855,2.57565,,4.3875,3.115,6,,,,,8.73,,,10,5,5,4.68,4.71,3.25,4.65,2.5,5,6.04,8.73
T_LAIMax,,18,2.666666667,2.666666667,2.666666667,2.666666667,2.666666667,2.666666667,2.666666667,,,,5.333333333,2.666666667,2.666666667,,2.666666667,1.333333333,5,,,,,5.33,,,5,5,5,2.666666667,4,4,4,5,2.67,4,4
T_LAIMinMaxRatio,,19,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,0.5,0.5,0.5,,0.5,0.5,0.1,,,,,0.5,,,0.5,0.1,0.9,0.5,0.5,0.5,0.5,0.6,1,0.5,0.5
T_RelLightMaxGr,,20,0.8,0.9,0.8,0.9,1,0.9,0.5,,,,0.5,0.7,0.7,,0.7,0.5,0.7,,,,,0.1,,,0.5,1,0.8,0.5,0.1,0.5,0.5,0.7,0.1,0.1,0.1
T_klight,,21,0.82,0.85732141,0.82,0.85732141,0.85732141,0.85732141,0.7,,,,0.494974747,0.494974747,0.494974747,,0.85732141,0.7,0.5,,,,,0.86,,,0.5,0.35,0.8,0.7,0.86,0.7,0.494974747,0.8,0.59,0.49,0.49
T_RainWStorCap,,22,0.25,0.25,0.25,0.25,0.25,0.25,1,,,,1,1,1,,1,1,0.7,,,,,0.25,,,0.8,1,1,1,0.25,0.25,2.25,0.3,0.64,2.25,0.25
T_RootConductivity,,23,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,,,,,,,,,,,0.00001,,,,,,,,0.00001,0.00001,0.00001,,,,,,,,
TW_PotSuctAlphMax,,24,-1500,-1500,-1500,-1500,-1500,-1500,-500,,,,-1500,-1000,-1500,,-1500,-1500,-1000,,,,,-500,,,-5000,-1000,-5000,-1500,-500,-1500,-500,-10000,-1400,-500,-500
TW_PotSuctAlphMin,,25,-4500,-4500,-4500,-4500,-15000,-4500,-3000,,,,-4500,-3000,-4500,,-4500,-4500,-11000,,,,,-4500,,,-15000,-15000,-20000,-4500,-1500,-4500,-3000,-30000,-4200,-1500,-4500
T_NFixVariable_is,,26,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,,,,,0,,,1,0,0,0,0,0,0,0,0,0,0
T_NFixDayFrac,,27,0,0,0,0,0,0,0.125,,,,0.25,0.25,0.125,,0.125,0.25,0,,,,,0.25,,,0.25,0,0,0.125,0,0.125,0.125,0,0,0.13,0
T_NFixDWMaxFrac,,28,0,0,0,0,0,0,0.05,,,,0.1,0.1,0.05,,0.05,0.1,0,,,,,0.1,,,0.1,0,0,0.05,0,0.05,0.05,0,0,0.05,0
T_NFixDWUnitCost,,29,0,0,0,0,0,0,,,,,,0.005,,,,,0,,,,,0.01,,,0.005,0,0,,0.01,,,0,0,0.01,0.01
